TICKER,PERMNO
CDI,45655
CBS,20730
FSNM,79828
SVRN,10562
CRR,71765
MUEL,55467
MCN,75298
NATR,56945
CMCSA,25022
AAON,76868
GLFD,80629
MFSL,11377
ATCM,10570
IPG,53065
FNM,51043
HSB,41100
PNBT,63299
HBAN,42906
HOO,77475
RGR,73219
UFCS,78693
GEMC,38907
BKSO,16716
ESP,31691
CF,10725
COM,31026
CBSH,25129
KOPN,77515
SCO,24336
NAMC,57964
WLC,46076
FCOLA,87899
SLM,66325
CHMP,78816
FMER,35167
SOPN,80155
IVBK,77223
FI,29049
PGDA,81005
NSYS,79322
ASC,44652
MODI,54704
HH,42455
PLN,40977
KCP,80679
MI,51706
BF,29938
CSTB,12137
FKFD,88154
CHV,14541
FMBK,79635
EVGN,87680
CFHC,92129
BCTI,39416
METHB,53189
SYST,74150
TBS,75198
GE,12060
MFD,47167
CUBE,80441
PINN,76417
FIL,76162
LLY,50876
GMH,68451
ILCT,43263
CMS,23229
PBNB,10596
OBCI,72611
BF,29946
MXIM,11896
WRLD,77114
SWFT,76214
ECL,70578
SPP,18032
NZYM,92225
SPC,59459
MCHN,52920
WFMI,77281
CHZ,23326
COO,52388
CATP,79075
HLY,19887
CAX,30779
ISCX,79276
SEO,36345
MINI,80254
GAI,53794
CNT,47052
GDX,59547
FNBF,37007
AVY,44601
CYAN,10661
CMA,25081
CFL,27263
HB,52716
CHLN,22569
MTC,18382
MCCAA,54616
BXM,76776
EK,11754
LMRK,12048
FULT,88197
CCB,20088
HRH,11509
HNI,42439
GBND,38333
SGC,47861
CA,25778
NFX,79915
USG,79244
MSI,48020
CAH,21371
BDL,54244
LNC,49015
SUMI,73315
PCT,38826
TLAB,75257
FO,10225
GX,52250
CPSA,22171
FOA,35204
OKE,25232
JLG,46149
HDSN,81084
INHO,43837
WFC,38703
AMBJ,85359
ALLC,79788
VRI,80699
SBIT,79189
MCCS,52258
NWL,60986
IFC,44688
AMSY,13304
PNBC,77585
BOAT,18551
PLA,76218
FDLNA,37197
SDS,10108
AJG,38093
HOC,32803
GBCB,11808
LEG,60943
DIO,44943
AXO,64848
ADCT,50906
MCRL,81162
MRBK,52840
AHS,27190
EQT,24328
SRO,36679
COP,26607
GOR,32328
CCN,21282
SPAR,71985
LOR,33785
EV,31500
GL,51836
NAC,16803
ACET,10656
CTS,28564
SLC,55351
WABC,82107
NFB,58094
UNM,71175
OKT,47394
JPM,48071
HS,75850
DHR,49680
SDG,76660
VIA,51617
AMTR,13980
WPO,53225
BRY,11478
ZING,93316
APY,40935
BPH,70914
PZZA,79299
CBCF,86685
CSCQ,80242
DVI,11159
CRED,27677
VWRX,10075
JAS,53196
UK,15659
APK,85551
MAI,76838
ATEL,11149
MCY,52936
BKNG,75901
USF,58481
ITW,56573
PIP,63730
WETT,82705
WFC,50024
MRDN,52944
DG,30382
NOVL,90609
STN,23421
ITII,81089
DEVC,29621
MBVT,90086
FCOM,35370
WRKS,31457
ARC,10604
EBSI,10149
IVC,45728
ADBE,75510
FRG,55730
FMN,33882
STUH,73147
BHY,10743
LTCH,77353
TPOA,10706
ABA,15843
FRD,58421
PAYC,61640
BK,49656
PDM,43588
RKY,44484
BGR,16599
RI,55213
ATI,10287
TRH,76219
MN,35115
AGN,75646
MAPX,76259
PNM,55511
FUNC,77889
ABKR,11241
OCLI,59767
VTX,92866
BPOP,16513
PLU,35529
CEBK,10769
ESG,62172
BNKF,16767
PBK,62085
UGI,17929
BBI,61284
BLL,57568
UVV,16555
NAUT,72710
SST,75270
BMS,43772
CKN,51676
ABIX,75721
RWY,79525
SFBM,10873
KZ,41136
IGT,45277
KRUE,48136
HA,57832
WRT,38244
MASB,10271
PWX,12248
ASPT,76165
CGNX,75654
BNBC,10598
MYE,65365
FTSC,35511
PMC,64275
MLRC,12215
PRI,65701
GEL,59870
PIN,24192
INEI,44266
WSO,66376
FMBI,35917
SCL,36898
AATI,10043
UTVI,79330
ART,29380
FBF,47159
HRB,49373
TECD,10182
TECUA,77722
ITG,61990
SEIC,68196
PTLX,61488
MRI,65672
INHL,80539
SH,36484
CMVT,10942
BIS,85842
FNCO,77845
AMLN,77264
PCO,77872
SBK,51764
IBM,12490
BREW,80736
ALAB,81071
CMCSK,11997
KWP,89392
SCOT,10821
PSNB,64689
ACCMB,15342
FOOD,82449
ABCL,77764
RFBK,11462
VDC,47810
BRL,11415
FSS,47706
BEN,37584
CYS,28143
MYR,66640
HRZB,10563
CBI,59264
CPAK,20299
PBEN,64769
PCI,32475
UMBF,78829
FSCO,36274
GSU,23405
ACCMA,15334
LGNT,30884
NDSN,57809
LE,75232
MLM,80204
TJX,40539
HCR,77063
IDBX,10739
MARQ,77108
WCI,38551
FSCR,34463
CABI,75613
PNK,42140
Y,17400
BIOW,16847
ARDNA,14868
COLL,24572
SAA,42999
HCI,64223
CYCL,77163
USS,79250
SNW,60222
SUB,51588
CFR,27888
AROW,15070
EXPD,87717
TIF,75100
H,40838
BDM,63896
GPC,46674
RAVN,62033
DEVN,10572
ICUI,77447
SDII,76781
FFBK,35722
SHV,65410
STX,14605
RBC,58771
DLCH,29226
RCII,81222
ACZ,51510
BNL,19377
BULL,19749
SFSK,79868
REBC,76830
SHRP,11278
FAF,35124
MH,48063
WCBO,76331
SDY,68670
CHD,40715
CX,69243
LUV,58683
LC,47802
DIS,26403
BWINB,10239
BLT,65154
CFCM,30517
PLNR,80012
SMF,27473
KEY,64995
CAL,79641
AEPI,10025
UPJ,26681
VALM,80128
OV,10126
SHX,54412
TSII,74481
RNB,53938
SBOS,71299
VC,75819
MCA,27086
ATMS,75706
CTAS,23660
BCR,46877
LTR,26710
INTC,59328
MPML,11728
WTSLA,76217
CFBX,76789
RLR,58393
AGI,68814
UI,54420
ACXM,20117
CACOA,11267
EGFC,11064
DOV,25953
SEI,91804
CORS,67046
MYL,69550
NPCI,56630
SWX,61188
BR,75333
SYNC,43334
SRD,21450
ADPT,10353
FVB,52265
ROW,67732
AUTR,15975
SOCS,70966
WSO,46068
APR,46527
MYO,34366
SVM,71116
STRD,80378
FDO,53866
MOH,22760
LSTR,78981
DIYS,81201
SCNYB,79204
MRL,75660
VUL,45348
MMM,22592
NAIG,75551
PRY,36783
SKII,91636
GME,66931
USTR,79303
SDLI,81509
URGI,77403
AMBI,10994
BSX,77605
ESC,69358
ICN,68340
ETH,79037
ATRO,15457
NCC,56232
MOSI,55256
TECN,74828
ALO,65832
ABCB,80498
PRGS,76752
LXBK,89440
SYB,77579
LTC,43318
CNW,38420
MAB,53832
FCN,56450
RMCI,10876
FFB,52505
LANC,48523
NG,20570
CBOT,10010
FWBI,75626
SAFC,59440
ROK,18948
PNTC,61031
PHSYB,77712
WBR,61225
BBTF,19052
TTT,75099
